order,class,phylum,gene,n,n_res,f_res
Gemmatimonadales,Gemmatimonadetes,Gemmatimonadota,gyrA,6,0,0
Geobacterales,Desulfuromonadia,Desulfobacterota,gyrA,35,2,0.05714285714285714
Gloeobacterales,Cyanobacteriia,Cyanobacteriota,gyrA,4,0,0
Gloeomargaritales,Cyanobacteriia,Cyanobacteriota,gyrA,1,1,1
Granulosicoccales,Gammaproteobacteria,Pseudomonadota,gyrA,1,0,0
Halanaerobiales,Halanaerobiia,Bacillota,gyrA,12,2,0.16666666666666666
Haliangiales,Polyangia,Myxococcota_A,gyrA,1,0,0
Halobacteroidales,Halanaerobiia,Bacillota,gyrA,10,9,0.9
Haloplasmatales,Bacilli_A,Bacillota_I,gyrA,1,0,0
Halothiobacillales,Gammaproteobacteria,Pseudomonadota,gyrA,5,0,0
Heliobacteriales,Desulfitobacteriia,Bacillota,gyrA,9,3,0.3333333333333333
Holophagales,Holophagae,Acidobacteriota,gyrA,15,0,0
Holosporales,Alphaproteobacteria,Pseudomonadota,gyrA,5,5,1
Ignavibacteriales,Ignavibacteria,Bacteroidota,gyrA,6,1,0.16666666666666666
Immundisolibacterales,Gammaproteobacteria,Pseudomonadota,gyrA,1,0,0
Isosphaerales,Planctomycetia,Planctomycetota,gyrA,17,1,0.058823529411764705
Izemoplasmatales,Bacilli_A,Bacillota_I,gyrA,3,0,0
JAAYUW01,JAAYUW01,Spirochaetota,gyrA,1,0,0
JADQBR01,JADQBR01,Bacillota,gyrA,1,0,0
JC444,Spirochaetia,Spirochaetota,gyrA,1,1,1
Jiangellales,Actinomycetes,Actinomycetota,gyrA,15,0,0
Johnevansiales,Gammaproteobacteria,Pseudomonadota,gyrA,1,0,0
Kiloniellales,Alphaproteobacteria,Pseudomonadota,gyrA,21,4,0.19047619047619047
Kiritimatiellales,Kiritimatiellia,Verrucomicrobiota,gyrA,5,0,0
Koleobacterales,Thermosediminibacteria,Bacillota,gyrA,1,0,0
Kolteriales,Planctomycetia,Planctomycetota,gyrA,1,0,0
Ktedonobacterales,Ktedonobacteria,Chloroflexota,gyrA,17,16,0.9411764705882353
Kyrpidiales,Bacilli,Bacillota,gyrA,2,2,1
Lachnospirales,Clostridia,Bacillota,gyrA,235,197,0.8382978723404255
Lactobacillales,Bacilli,Bacillota,gyrA,864,41,0.047453703703703706
Legionellales,Gammaproteobacteria,Pseudomonadota,gyrA,69,1,0.014492753623188406
Lentisphaerales,Lentisphaeria,Verrucomicrobiota,gyrA,3,0,0
Leptolyngbyales,Cyanobacteriia,Cyanobacteriota,gyrA,13,0,0
Leptospirales,Leptospiria,Spirochaetota,gyrA,74,32,0.43243243243243246
